show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,primary_genre,duration_minutes,seasons
s1,Movie,The Broken Kingdom 1,Unknown,"Priya Johnson, Aisha Kumar, Raj Smith",Egypt,2024-11-04,2023,TV-MA,73 min,"Horror Movies, Documentaries, Independent Movies",A gripping movie exploring themes of survival and identity in Egypt.,2024,November,Horror Movies,73.0,
s2,Movie,The Broken City 2,Fatima Costa,"Wei Park, Aisha Lee, Fatima Garcia",United States,2025-09-20,2024,TV-MA,73 min,"Documentaries, Independent Movies, Thrillers",A gripping movie exploring themes of survival and identity in United States.,2025,September,Documentaries,73.0,
s3,Movie,The Golden Memory 3,Fatima Costa,"Min Patel, John Silva, Priya Patel",United States,2024-02-03,2022,TV-MA,118 min,Romantic Movies,A gripping movie exploring themes of survival and identity in United States.,2024,February,Romantic Movies,118.0,
s4,TV Show,The Broken Memory 4,Unknown,"Priya Nair, Carlos Nair, John Silva, Fatima Rossi, Sara Garcia",France,2025-10-28,2021,TV-14,6 Seasons,"TV Comedies, TV Dramas, Kids' TV",A gripping tv show exploring themes of survival and identity in France.,2025,October,TV Comedies,,6.0
s5,Movie,The Lost City 5,Tom Khan,"Carlos Müller, David Nair, Anil Tanaka, Anil Costa, David Silva, Fatima Smith, Hana Johnson",United States,2019-05-23,2018,TV-14,157 min,"Comedies, Action & Adventure, Documentaries",A gripping movie exploring themes of survival and identity in United States.,2019,May,Comedies,157.0,
s6,TV Show,The Silent Storm 6,Unknown,"Carlos Park, Fatima Park, Aisha Johnson, Tom Lee",United Kingdom,2026-04-21,2024,TV-MA,8 Seasons,"Anime Series, Crime TV Shows, Docuseries",A gripping tv show exploring themes of survival and identity in United Kingdom.,2026,April,Anime Series,,8.0
s7,Movie,The Wild Dreams 7,Wei Costa,"Priya Silva, Tom Johnson, Min Patel, Fatima Patel, Raj Müller, John Müller",Egypt,2025-08-03,2025,TV-14,166 min,Comedies,A gripping movie exploring themes of survival and identity in Egypt.,2025,August,Comedies,166.0,
s8,Movie,The Silent Storm 8,Fatima Patel,"John Nair, Yuki Nair, Hana Garcia, Sara Costa",United States,2019-11-11,2017,TV-PG,84 min,"Thrillers, Action & Adventure",A gripping movie exploring themes of survival and identity in United States.,2019,November,Thrillers,84.0,
s9,TV Show,The Silent Legacy 9,Unknown,"Yuki Tanaka, Anil Tanaka, Priya Smith, Elena Nair, Priya Costa",United States,2019-09-01,2019,R,6 Seasons,TV Comedies,A gripping tv show exploring themes of survival and identity in United States.,2019,September,TV Comedies,,6.0
s10,Movie,The Wild Kingdom 10,Aisha Tanaka,"Hana Park, Yuki Silva, Sara Rossi, Min Smith, Carlos Tanaka, Priya Lee, Raj Johnson",Canada,2023-11-16,2021,TV-MA,140 min,Horror Movies,A gripping movie exploring themes of survival and identity in Canada.,2023,November,Horror Movies,140.0,
